"Source:","C:\Users\tomwi\OneDrive\Documents\School\EEC 105 EE-Emerge\Aetherharp Project\KiCad\Bela HAT PCB\Bela_HAT_PCB.kicad_sch"
"Date:","5/31/2022 2:20:12 PM"
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","33"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey/Mouser PN","MPN","Mouser/Digikey PN"
"","","U2","UART_Outupt","Aetherharp:UART_Outupt","Aetherharp:UART_Output","","","",""
"","","U3","9V_Output","Aetherharp:9V_Output","Aetherharp:9V_Output","","","",""
"","","U4","BelaBoard","Aetherharp:BelaBoard","Aetherharp:BigBelaBoard","","","",""
"","","U5","+5V_Output","Aetherharp:+5V_Output","Aetherharp:5V_Output","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey/Mouser PN","MPN","Mouser/Digikey PN"
"1","9","C1, C2, C3, C4, C5, C6, C7, C8, C9","10u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","CNC5L1X7R1E106K160AE","Mouser: 810-CNC5LX7R1E106K16"
"2","7","J1, J2, J3, J4, J5, J6, J7","RJ12","Connector:RJ12","Connector_RJ:RJ12_Amphenol_54601","~","Mouser:  490-CRJ030-G-TH ","CRJ030-G-TH ",""
"3","1","J8","Barrel_Jack","Connector:Barrel_Jack","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal","~","Mouser: 640-DCJ200-10-A-K1-K","DCJ200-10-A-K1-K",""
"4","4","R1, R2, R5, R6","10k","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","Mouser: 71-CRMA1206AF10K0DKF","CRMA1206AF10K0DKEF",""
"5","1","R3","1k","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","CHP1206-FX-1001ELF","Mouser: 652-CHP1206FX1001ELF"
"6","1","R4","3k","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","ERA-8APB302V","Mouser: 667-ERA-8APB302V"
"7","1","RV1","10k Pot","Device:R_Potentiometer","Aetherharp:Pot","~","Amazon: https://amzn.to/3C4XFLI","rv24yn20s b103",""
"8","4","SW1, SW2, SW3, SW4","SW_SPST","Switch:SW_SPST","Aetherharp:Button","~","Mouser: 629-GF11230000","GF-1123-0000",""
"9","1","U1","LM317_SOT-223","Regulator_Linear:LM317_SOT-223","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.ti.com/lit/ds/symlink/lm317.pdf","","LM317TG","Mouser: 863-LM317TG"
"10","1","U2","UART_Outupt","Aetherharp:UART_Outupt","Aetherharp:UART_Output","","","",""
"11","1","U3","9V_Output","Aetherharp:9V_Output","Aetherharp:9V_Output","","","",""
"12","1","U4","BelaBoard","Aetherharp:BelaBoard","Aetherharp:BigBelaBoard","","","",""
"13","1","U5","+5V_Output","Aetherharp:+5V_Output","Aetherharp:5V_Output","","","",""
