Part,Quantity,Price,Link
Distance Sensors,7 - 8 ,$11 ea.,[Pololu]<a href="https://www.pololu.com/product/2464">link</a> 
Outer Casing Opaque Acrylic,??,??,[Amazon](https://smile.amazon.com/Sibe-R-Plastics-Supply-Opaque-Acrylic-Plexiglass/dp/B0851SSKCD/ref=sr_1_7?crid=2FSBPX76ZHRG7&keywords=1%2F2%2Bin%2Bacrylic&qid=1643941170&sprefix=1%2F2%2Bin%2Bacrylic%2Caps%2C142&sr=8-7&th=1)
Transparent Acrylic Cover,1 sheet,~$20,[Amazon](https://smile.amazon.com/Clear-Acrylic-Plexiglass-Sheet-Thick/dp/B01NAFYNV4/ref=sr_1_5?crid=3AFDMCF11PAFE&keywords=clear+acrylic+sheet+48&qid=1644541651&sprefix=clear+acrylic+sheet+48%2Caps%2C137&sr=8-5)
Pitchbend Potentiometer ,1,$8,[Amazon](https://smile.amazon.com/Potentiometer-ThumbSticks-DualSense-Playstation-Controller/dp/B09DNTRDKT/ref=sr_1_11?crid=N11KT6AOU2ON&keywords=analog%2Bthumbstick%2Bsensor%2Bjoystick%2Bmodule&qid=1644542892&sprefix=analog%2Bthumb%2Bstick%2Bsensor%2Bjoystick%2Bmodule%2Caps%2C140&sr=8-11&th=1)
Plastic Liner for Cover,??,$24 for a 4-pack,[Amazon](https://smile.amazon.com/Outwater-Plastics-1919-Bk-Styrene-Moulding/dp/B07MT4WNP7/ref=sr_1_30?crid=2N5TOBMMU0HYY&keywords=black%2Bplastic%2BL%2Bprofile%2B15x15&qid=1644542478&sprefix=black%2Bplastic%2Bl%2Bprofile%2B15x15%2Caps%2C121&sr=8-30&th=1)
Velcro Dots to Hold Sensors in Place,15/pack,2.89 for 1 pack,[Amazon](https://www.amazon.com/VELCRO-Brand-Sticky-Fasteners-Perfect/dp/B002IXGUAQ/ref=asc_df_B002IXGUAQ/?tag=hyprod-20&linkCode=df0&hvadid=167152383254&hvpos=&hvnetw=g&hvrand=15904039245858263539&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9032434&hvtargid=pla-274905925196&psc=1)
